,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
133,fluorine,'A gaseous chemical element with symbol F and atomic number 9; a member of the halide family it is the most electronegative element and the most chemically energetic of the nonmetallic elements; highly toxic and corrosive; used in rocket fuels and as a chemical intermediate.','a chemical element. Fluorine is a poisonous pale yellow gas and is very reactive.',45,14,Fluorine is a bad yellow gas and can do a lot of things fast,14,0.7932733
134,foliage,'The leaves of a plant together.','the leaves of a tree or plant; leaves and branches together',6,11,The green part of trees or plants leaves and branches together,11,0.8614389
135,foodstuff,'A substance that can be used or prepared for use as food.','any substance that is used as food',12,7,Something you eat,3,0.60402834
136,forecast,'An estimate of a future condition.','a statement about what will happen in the future based on information that is available now',6,16,A saying about what might come later using what we know now,12,0.80755115
137,forestry,'The management of forest lands for wood forages water wildlife and recreation.','the science or practice of planting and taking care of trees and forests',12,13,The work of planting and taking care of trees and forests,11,0.88060343
138,fumigation,'The use of a chemical compound in a gaseous state to kill insects nematodes arachnids rodents weeds and fungi in confined or inaccessible locations; also used to control weeds nematodes and insects in the field.','the use of special chemicals smoke or gas to destroy the harmful insects or bacteria in a place',35,18,Using special smoke or gas to kill bad bugs or germs in a place,14,0.8513978
139,fungicide,'A chemical used to kill or halt the development of fungi that cause plant disease.','a substance that kills fungus',15,5,A thing that makes fungus go away,7,0.78039813
140,gasohol,'A mixture of 80% or 90% petrol with 20% or 10% ethyl alcohol for use as a fuel in internal combustion engines.','a mixture of petrol and alcohol that can be used in cars',22,12,A mix of car stuff and drink stuff that can be used in cars,14,0.8149817
141,gastropod,'Any mollusc of the class Gastropoda typically having a flattened muscular foot for locomotion and a head that bears stalked eyes.','a mollusc such as a snail or slug that moves on one large foot',21,14,A snail or slug that moves on a big foot,10,0.82285845
142,genetics,'The science that is concerned with the study of biological inheritance.','the scientific study of the ways in which different characteristics are passed from each generation of living things to the next',11,21,The study of how living things pass traits from parents to children,12,0.8622319
143,geophysics,'The physics of the earth and its environment that is earth air and space.','the scientific study of the physics of the earth including its atmosphere climate and magnetism',14,15,The study of how the Earth works like its air weather and magnets,13,0.84634614
144,germination,'The beginning or the process of development of a spore or seed.','the process by which a seed starts to grow',12,9,How a seed begins to grow,6,0.8177782
145,glacier,'Slow moving masses of ice which have accumulated either on mountains or in polar regions.','a slow-moving mass or river of ice formed from snow on mountains or near the North Pole or South Pole',15,20,A big slow river of ice made from snow on mountains or at the North Pole or South Pole,19,0.91545945
